"","ID_Buzzard","sex","year","min_age","laying_date","max_age","age","Hellmann_winter","NAO_winter","voleMarch","Hellmann_cat","NAO_cat","btw_ind_avg_age","wth_ind_age_cen"
"65",25,1,1999,4,83,5,"young",47.7,0.38,37,"Low","Positive",3.33333333333333,0.666666666666667
"66",25,1,1996,1,90,5,"young",150.5,-0.7,7,"High","Negative",3.33333333333333,-2.33333333333333
"67",26,2,2004,9,104,9,"old",16.3,0.42,9,"Low","Positive",8.5,0.5
"68",26,2,2003,8,93,9,"old",80.1,0,0,"Medium","Positive",8.5,-0.5
"69",27,1,2015,20,90,20,"old",7.8,1.42,38,"Low","Positive",13.5454545454545,6.45454545454546
"70",27,1,2014,19,88,20,"old",0,0.86,21,"Low","Positive",13.5454545454545,5.45454545454546
"71",27,1,2012,17,89,20,"old",88.4,1.35,22,"Medium","Positive",13.5454545454545,3.45454545454546
"72",27,1,2011,16,90,20,"old",80.6,-0.61,0,"Medium","Negative",13.5454545454545,2.45454545454546
"73",27,1,2009,14,98,20,"old",56.5,0,0,"Medium","Positive",13.5454545454545,0.454545454545455
"74",27,1,2008,13,91,20,"old",20.3,0.52,18,"Low","Positive",13.5454545454545,-0.545454545454545
"75",27,1,2007,12,93,20,"old",4.8,0.59,36,"Low","Positive",13.5454545454545,-1.54545454545454
"76",27,1,2006,11,96,20,"old",31.5,-0.25,0,"Low","Negative",13.5454545454545,-2.54545454545454
"77",27,1,2005,10,92,20,"old",32.4,0.31,32,"Low","Positive",13.5454545454545,-3.54545454545454
"78",27,1,2004,9,99,20,"old",16.3,0.42,9,"Low","Positive",13.5454545454545,-4.54545454545454
"79",27,1,2003,8,98,20,"old",80.1,0,0,"Medium","Positive",13.5454545454545,-5.54545454545454
"80",28,2,2010,15,114,15,"old",94.7,-1.18,28,"Medium","Negative",12,3
"81",28,2,2009,14,97,15,"old",56.5,0,0,"Medium","Positive",12,2
"82",28,2,2008,13,99,15,"old",20.3,0.52,18,"Low","Positive",12,1
"83",28,2,2007,12,109,15,"old",4.8,0.59,36,"Low","Positive",12,0
"84",28,2,2005,10,97,15,"old",32.4,0.31,32,"Low","Positive",12,-2
"85",28,2,2003,8,107,15,"old",80.1,0,0,"Medium","Positive",12,-4
"86",29,1,2005,10,97,10,"old",32.4,0.31,32,"Low","Positive",9,1
"87",29,1,2003,8,107,10,"old",80.1,0,0,"Medium","Positive",9,-1
"88",30,2,1996,1,130,1,"young",150.5,-0.7,7,"High","Negative",1,0
"89",31,1,1996,1,130,1,"young",150.5,-0.7,7,"High","Negative",1,0
"90",32,2,2000,3,112,3,"young",3.6,1.07,10,"Low","Positive",2,1
"91",32,2,1998,1,98,3,"young",19.3,-0.14,0,"Low","Negative",2,-1
"92",33,1,2001,4,94,4,"young",27.7,-0.41,12,"Low","Negative",2.66666666666667,1.33333333333333
"93",33,1,2000,3,112,4,"young",3.6,1.07,10,"Low","Positive",2.66666666666667,0.333333333333333
"94",33,1,1998,1,98,4,"young",19.3,-0.14,0,"Low","Negative",2.66666666666667,-1.66666666666667
"95",34,2,1996,1,96,1,"young",150.5,-0.7,7,"High","Negative",1,0
"96",35,1,2000,5,94,5,"young",3.6,1.07,10,"Low","Positive",3.75,1.25
"97",35,1,2000,5,105,5,"young",3.6,1.07,10,"Low","Positive",3.75,1.25
"98",35,1,1999,4,106,5,"young",47.7,0.38,37,"Low","Positive",3.75,0.25
"99",35,1,1996,1,96,5,"young",150.5,-0.7,7,"High","Negative",3.75,-2.75
"100",38,2,2000,5,98,5,"young",3.6,1.07,10,"Low","Positive",3.5,1.5
"101",38,2,1997,2,124,5,"young",131.6,0.14,10,"High","Positive",3.5,-1.5
"102",39,1,2006,11,105,11,"old",31.5,-0.25,0,"Low","Negative",10.5,0.5
"103",39,1,2005,10,102,11,"old",32.4,0.31,32,"Low","Positive",10.5,-0.5
"104",40,2,2015,20,86,20,"old",7.8,1.42,38,"Low","Positive",13.9230769230769,6.07692307692308
"105",40,2,2014,19,82,20,"old",0,0.86,21,"Low","Positive",13.9230769230769,5.07692307692308
"106",40,2,2013,18,102,20,"old",73.2,-0.42,1,"Medium","Negative",13.9230769230769,4.07692307692308
"107",40,2,2012,17,85,20,"old",88.4,1.35,22,"Medium","Positive",13.9230769230769,3.07692307692308
"108",40,2,2011,16,87,20,"old",80.6,-0.61,0,"Medium","Negative",13.9230769230769,2.07692307692308
"109",40,2,2010,15,95,20,"old",94.7,-1.18,28,"Medium","Negative",13.9230769230769,1.07692307692308
"110",40,2,2008,13,101,20,"old",20.3,0.52,18,"Low","Positive",13.9230769230769,-0.923076923076923
"111",40,2,2008,13,120,20,"old",20.3,0.52,18,"Low","Positive",13.9230769230769,-0.923076923076923
"112",40,2,2007,12,100,20,"old",4.8,0.59,36,"Low","Positive",13.9230769230769,-1.92307692307692
"113",40,2,2006,11,99,20,"old",31.5,-0.25,0,"Low","Negative",13.9230769230769,-2.92307692307692
