"","ID_Buzzard","sex","year","min_age","laying_date"
"227",56,2,2005,10,100
"228",56,2,2004,9,114
"229",56,2,2003,8,101
"230",56,2,2001,6,83
"231",56,2,2000,5,96
"232",56,2,1999,4,93
"233",56,2,1998,3,104
"234",56,2,1997,2,88
"235",56,2,1996,1,93
"236",57,1,2012,17,96
"237",57,1,2011,16,95
"238",57,1,2010,15,94
"239",57,1,2009,14,93
"240",57,1,2008,13,94
"241",57,1,2007,12,94
"242",57,1,2006,11,97
"243",57,1,2005,10,100
"244",57,1,2004,9,114
"245",57,1,2003,8,101
"246",57,1,2001,6,83
"247",57,1,2000,5,96
"248",57,1,1999,4,93
"249",57,1,1998,3,104
"250",57,1,1997,2,88
"251",57,1,1996,1,93
"252",58,2,1997,1,110
"253",59,1,2010,14,108
"254",59,1,2009,13,92
"255",59,1,2008,12,95
"256",59,1,2007,11,93
"257",59,1,2005,9,102
"258",59,1,2004,8,101
"259",59,1,2003,7,95
"260",59,1,2001,5,89
"261",59,1,2000,4,107
"262",59,1,1997,1,110
"263",60,2,2005,10,94
"264",60,2,2003,8,100
"265",60,2,2001,6,87
"266",60,2,1999,4,95
"267",60,2,1998,3,118
"268",60,2,1996,1,114
"269",61,1,2009,14,98
"270",61,1,2008,13,96
"271",61,1,2007,12,91
"272",61,1,2005,10,94
"273",61,1,2003,8,100
"274",61,1,2001,6,87
"275",61,1,1999,4,95
"276",61,1,1998,3,118
"277",61,1,1996,1,114
"278",62,2,2010,15,108
"279",62,2,2009,14,92
"280",62,2,2008,13,95
"281",62,2,2007,12,93
"282",62,2,2005,10,102
"283",62,2,2004,9,101
"284",62,2,2003,8,95
"285",62,2,2001,6,89
"286",62,2,2000,5,107
"287",62,2,1999,4,94
"288",62,2,1998,3,111
"289",62,2,1996,1,98
"290",63,1,2015,20,102
"291",63,1,2014,19,89
"292",63,1,2012,17,96
"293",63,1,2011,16,99
"294",63,1,1999,4,94
"295",63,1,1998,3,111
"296",63,1,1996,1,98
"297",68,2,2014,16,85
"298",68,2,2012,14,95
"299",68,2,2011,13,93
"300",68,2,2010,12,101
"301",68,2,2009,11,100
"302",68,2,2008,10,93
"303",68,2,2007,9,89
"304",68,2,2006,8,102
"305",68,2,2005,7,94
"306",68,2,2004,6,110
"307",68,2,2003,5,102
"308",68,2,2001,3,95
"309",68,2,1999,1,92
"310",69,1,2015,17,96
"311",69,1,2014,16,85
"312",69,1,2012,14,95
"313",69,1,2011,13,93
"314",69,1,2010,12,101
"315",69,1,2009,11,100
"316",69,1,2008,10,93
"317",69,1,2007,9,89
"318",69,1,2006,8,102
"319",69,1,2005,7,94
"320",69,1,2004,6,110
"321",69,1,2003,5,102
"322",69,1,2001,3,95
"323",69,1,1999,1,92
"324",70,2,2003,7,95
"325",70,2,2001,5,90
"326",70,2,2000,4,95
"327",74,2,2001,6,93
"328",74,2,2000,5,94
"329",74,2,1999,4,93
"330",74,2,1998,3,100
"331",74,2,1997,2,94
"332",74,2,1996,1,94
"333",75,1,2009,14,91
"334",75,1,2008,13,93
"335",75,1,2007,12,87
"336",75,1,2006,11,94
"337",75,1,2005,10,92
"338",75,1,2004,9,90
"339",75,1,2003,8,99
"340",75,1,2001,6,93
"341",75,1,2000,5,94
"342",75,1,1999,4,93
"343",75,1,1998,3,100
"344",75,1,1997,2,94
"345",75,1,1996,1,94
"346",77,1,2014,16,94
"347",77,1,2012,14,92
"348",77,1,2011,13,92
"349",77,1,2010,12,100
"350",77,1,2009,11,99
"351",77,1,2007,9,99
"352",77,1,2005,7,104
"353",77,1,2004,6,99
"354",77,1,2003,5,106
"355",77,1,2003,5,123
"356",77,1,2001,3,90
"357",77,1,2000,2,100
"358",77,1,1999,1,90
"359",82,2,2011,16,111
"360",82,2,2008,13,88
"361",82,2,2007,12,98
"362",82,2,2006,11,98
"363",82,2,2005,10,90
"364",82,2,2004,9,105
"365",82,2,2003,8,95
"366",82,2,2001,6,88
"367",82,2,2001,6,103
"368",82,2,1999,4,88
"369",82,2,1997,2,102
"370",82,2,1996,1,110
"371",83,1,2008,13,88
"372",83,1,2007,12,98
"373",83,1,2006,11,98
"374",83,1,2005,10,90
"375",83,1,2004,9,105
"376",83,1,2003,8,95
"377",83,1,2001,6,88
"378",83,1,2001,6,103
"379",83,1,1999,4,88
"380",83,1,1997,2,102
"381",83,1,1996,1,110
"382",86,2,2003,8,97
"383",86,2,2001,6,80
"384",86,2,2001,6,98
"385",86,2,1999,4,87
"386",86,2,1996,1,91
"387",87,1,2009,14,97
"388",87,1,2008,13,96
"389",87,1,2007,12,93
"390",87,1,2003,8,97
"391",87,1,2001,6,80
"392",87,1,2001,6,98
"393",87,1,1999,4,87
"394",87,1,1996,1,91
"395",88,2,1997,2,92
"396",89,1,1997,2,92
"397",92,2,1996,1,188
"398",93,1,1996,1,188
"399",96,2,2001,6,95
"400",96,2,2000,5,96
"401",96,2,1999,4,91
"402",96,2,1997,2,93
"403",96,2,1996,1,91
"404",97,1,2007,12,99
"405",97,1,2005,10,92
"406",97,1,2004,9,105
"407",97,1,2003,8,94
"408",97,1,2001,6,95
"409",97,1,2000,5,96
"410",97,1,1999,4,91
"411",97,1,1997,2,93
"412",97,1,1996,1,91
"413",98,2,2012,17,93
"414",98,2,2011,16,97
"415",98,2,2009,14,94
"416",98,2,2007,12,93
"417",98,2,2006,11,108
"418",98,2,2005,10,102
"419",98,2,2005,10,126
"420",98,2,2004,9,103
"421",98,2,2003,8,99
"422",98,2,2001,6,93
"423",98,2,2000,5,107
"424",98,2,1999,4,89
"425",98,2,1998,3,102
"426",98,2,1997,2,106
"427",98,2,1996,1,112
"428",99,1,2006,11,108
"429",99,1,2005,10,102
"430",99,1,2005,10,126
"431",99,1,2004,9,103
"432",99,1,2003,8,99
"433",99,1,2001,6,93
"434",99,1,2000,5,107
"435",99,1,1999,4,89
"436",99,1,1998,3,102
"437",99,1,1997,2,106
"438",99,1,1996,1,112
"439",100,2,1998,1,93
"440",101,1,1999,4,89
"441",101,1,1998,3,93
"442",101,1,1996,1,91
"443",104,2,2015,17,91
"444",104,2,2014,16,102
"445",104,2,2014,16,74
"446",104,2,2013,15,98
"447",104,2,2012,14,82
"448",104,2,2010,12,90
